PosTime,Alt,Lat,Long,Species,Id
2016-07-01 13:08:18,10475.0,54.699871,24.47608,1,4661081
2016-07-01 13:09:30,8900.0,54.716469,24.63933,1,4661081
2016-07-01 13:10:27,7600.0,54.73173900000001,24.77408,1,4661081
2016-07-01 13:11:27,6275.0,54.746792000000006,24.909229,1,4661081
2016-07-01 13:12:29,4750.0,54.762051,25.04525,1,4661081
2016-07-01 13:13:25,3700.0,54.77695799999999,25.18074,1,4661081
2016-07-01 13:14:30,3175.0,54.789509,25.29668,1,4661081
2016-07-01 13:15:27,2675.0,54.779411,25.384411,1,4661081
2016-07-01 13:16:31,2200.0,54.731049,25.35305,1,4661081
2016-07-01 13:17:30,1475.0,54.69133000000001,25.32548,1,4661081
2016-07-01 13:18:05,1100.0,54.67099,25.311331,1,4661081
